Time_Steps,Price,Voltage_Node_12,SOC_Node_12,Netload_Node_12,EnergyChange_Node_12,Voltage_Node_16,SOC_Node_16,Netload_Node_16,EnergyChange_Node_16,Voltage_Node_27,SOC_Node_27,Netload_Node_27,EnergyChange_Node_27,Voltage_Node_30,SOC_Node_30,Netload_Node_30,EnergyChange_Node_30,Voltage_Node_34,SOC_Node_34,Netload_Node_34,EnergyChange_Node_34
00:00,36.52,0.9922853928957297,0.37500163009277204,0.06908125,0.049996739814455946,1.0046765865786371,0.3750009547418626,0.08173791999999999,0.049998090516274796,0.9902423873932047,0.3750012861035585,0.08076077,0.04999742779288305,0.9954103248632916,0.37500127637342473,0.06204839,0.049997447253150626,0.9916885093108765,0.37500176020614406,0.07459335,0.04999647958771197
00:15,35.99,0.9887528244213261,0.39897647647198625,0.06466897,-0.047949692758428426,1.003837825480797,0.3769502796625107,0.08474018000000001,-0.0038986498412962103,0.9876606221199006,0.3787544373417078,0.07640891999999999,-0.007506302476298571,0.9929004777048762,0.3796303344273713,0.06109697,-0.009258116107893176,0.9878797052538438,0.39180028289411717,0.0763085,-0.03359704537594626
00:30,35.99,0.9887483448795227,0.41935347984924765,0.06514468000000001,-0.04075400675452282,1.0038377328842951,0.3810596866157037,0.08341984000000001,-0.008218813906385939,0.9876615047815036,0.39601442015313026,0.07759631,-0.034519965622844935,0.9929005341484951,0.3853068372821067,0.06311618000000001,-0.01135300570947077,0.9878797176001798,0.40802635661614245,0.07397466,-0.03245214744405052
00:45,35.99,0.9887900614730936,0.4442158869201234,0.06509666,-0.0497248141417515,1.0038374920996278,0.3892516720536449,0.08441091,-0.01638397087588241,0.9877086392667184,0.4208905556799328,0.07519328,-0.04975227105360509,0.9929004036684199,0.40163493661779115,0.06015431,-0.032656198671368916,0.9878830476120688,0.4316690593808616,0.07849938000000001,-0.047285405529438274
01:00,35.99,0.9887983652969894,0.4690999868406892,0.06353354,-0.049768199841131636,1.0038376284296449,0.400051621607067,0.08260628,-0.021599899106844192,0.9876861728917632,0.4456537658558546,0.07604356999999999,-0.04952642035184363,0.9929005405812229,0.41783384298448994,0.06038608000000001,-0.032397812733397605,0.9878829710269383,0.45523174052871285,0.07504424,-0.047125362295702494
01:15,35.12,0.9885092830902267,0.4940994812731005,0.06478511,-0.04999898886482248,1.0036105485700308,0.4250511009010721,0.08029494,-0.049998958588010185,0.9875421403525322,0.47065326642042093,0.07813526999999999,-0.049999001129132636,0.9925366741322245,0.442833327711392,0.06153539,-0.04999896945380406,0.9876286908730737,0.4802312353114044,0.06717830999999999,-0.04999898956538308
01:30,35.12,0.9887793772300811,0.5190989871031199,0.065937,-0.04999901166003884,1.0037296972857617,0.45005058535885006,0.07687903,-0.04999896891555597,0.9878480462569255,0.4956527795592154,0.07749686,-0.04999902627758897,0.9927851544472648,0.467832823218768,0.060929519999999994,-0.049998991014752026,0.9879125523347766,0.5052307420656584,0.06841106999999999,-0.04999901350850802
01:45,35.12,0.9890235243171305,0.5440985028199755,0.06831078,-0.049999031433711344,1.0037773665644505,0.4750500718920451,0.07809572,-0.04999897306639004,0.9881845668086181,0.520652305837616,0.08108800000000001,-0.04999905255680126,0.9930115664855016,0.492832328186231,0.06116433000000001,-0.04999900993492607,0.9881527107842164,0.5302302585400563,0.07038466,-0.04999903294879594
02:00,35.12,0.9889207936418208,0.5690980144482738,0.0620595,-0.04999902325659655,1.0036919331314957,0.5000495547911391,0.08512939,-0.049998965798187966,0.9881096519385543,0.5456518292551087,0.07942634999999999,-0.04999904683498524,0.9928821218302721,0.5178318278344887,0.06628257,-0.049998999296515155,0.9880428863630533,0.5552297706456817,0.07019028000000001,-0.04999902421125057
02:15,34.88,0.98889695779655,0.5940976309409962,0.06792368,-0.04999923298544474,1.0037040902026053,0.5250491519558205,0.07800899,-0.04999919432936273,0.9881965528570104,0.5706514558305363,0.0744575,-0.04999925315085535,0.9928742022160519,0.5428314366553351,0.06517449,-0.049999217641693,0.9880368087534483,0.5802293880148679,0.06676865,-0.04999923473837246
02:30,34.88,0.9890615051123562,0.6190972514827348,0.06502474999999999,-0.049999241083477114,1.0037695304870862,0.5500487508332037,0.07948295999999999,-0.049999197754766474,0.9885064945126351,0.5956510895573965,0.07711388000000001,-0.04999926745372034,0.9930587550851543,0.5678310501274688,0.06445936999999999,-0.04999922694426746,0.9882000294947585,0.6052290093935587,0.06760819000000001,-0.04999924275738162
02:45,34.88,0.989194766027969,0.6440968752336084,0.06588904000000001,-0.049999247501747265,1.0037796414911226,0.5750483499843152,0.0795899,-0.049999198302222964,0.9885381511643886,0.620650724020423,0.07909646,-0.04999926892605292,0.9931703023125376,0.5928306663583587,0.06370648000000001,-0.04999923246177964,0.9883515168704092,0.6302286344034712,0.06529349000000001,-0.04999925001982513
03:00,34.88,0.9892032858355698,0.6690964991692043,0.06503725,-0.04999924787119191,1.0038516502635932,0.6000479509632792,0.07381626999999999,-0.04999920195792805,0.9884967336115394,0.6456503575400557,0.0761088,-0.04999926703926564,0.9931962002558589,0.6178302832011044,0.06166103,-0.0499992336854915,0.9883390844740519,0.6552282591059155,0.06465375,-0.04999924940488848
03:15,34.86,0.9886281483256231,0.6940961159011378,0.06958953000000001,-0.04999923346386695,1.0036475430883092,0.6250475539534457,0.07593143000000001,-0.049999205980333035,0.9877313789746563,0.6706499796933084,0.07670978,-0.049999244306505236,0.9927224694093525,0.6428298952175394,0.05981997,-0.049999224032870014,0.9877808118864141,0.6802278770202483,0.061599140000000004,-0.049999235828665715
